"year","temp","recr"
2015,5.89152664859982,1
2016,5.89152664859982,1
2017,5.93741644083108,1
2018,5.92690003011141,1
2019,6.01428184281843,1
2020,6.09803071364047,1
2021,6.04353658536585,1
2022,6.01007527853056,1
2023,6.00720716651611,1
2024,6.03206413730804,1
2025,6.1228876844324,1
2026,6.18885426076483,1
2027,6.16112917795845,1
2028,6.23570009033424,1
2029,6.25673291177356,1
2030,6.17260162601626,1
2031,6.24048027702499,1
2032,6.35616079494128,1
2033,6.35711683227944,1
2034,6.31600722673894,1
2035,6.34660042155977,1
2036,6.34564438422162,1
2037,6.36858928033725,1
2038,6.50339054501656,1
2039,6.46266335441132,1
2040,6.30931496537188,1
2041,6.32556760012045,1
2042,6.39631436314363,1
2043,6.42786359530262,1
2044,6.49956639566396,1
2045,6.5339837398374,1
2046,6.5339837398374,1
2047,6.68790575127974,1
2048,6.6307347184583,1
2049,6.620027100271,1
2050,6.67930141523638,1
2051,6.65986198936064,1
2052,6.58943390545017,1
2053,6.620027100271,1
2054,6.60473050286059,1
2055,6.63723577235772,1
2056,6.74622402890696,1
2057,6.8198389039446,1
2058,6.82653116531165,1
2059,6.79211382113821,1
2060,6.784465522433,1
2061,6.76916892502259,1
2062,6.68121348991268,1
2063,6.76438873833183,1
2064,6.83035531466426,1
2065,6.87576708822644,1
2066,6.95922914784703,1
2067,6.87987804878049,1
2068,7.0684086118639,1
2069,7.10091388136104,1
2070,7.02347485697079,1
2071,6.96420054200542,1
2072,6.95081601927131,1
2073,7.03532971996387,1
2074,7.09230954531768,1
2075,7.03303523035231,1
2076,7.16305630834086,1
2077,7.22041854862993,1
2078,7.11525444143331,1
2079,7.15999698885878,1
2080,7.26248419150858,1
2081,7.19039897621199,1
2082,7.06936464920205,1
2083,7.20894610057212,1
2084,7.26630834086119,1
2085,7.27682475158085,1
2086,7.38103282143933,1
2087,7.41162601626016,1
2088,7.3972854561879,1
2089,7.44126317374285,1
2090,7.49766937669377,1
2091,7.52826257151461,1
2092,7.6907889190003,1
2093,7.43100170631336,1
2094,7.36382414935261,1
2095,7.38007678410118,1
2096,7.4586630532972,1
2097,7.64681120144535,1
2098,7.75579945799458,1
2099,7.80551339957844,1
